Марка;Ссылка;Цена в долларах;Цена в грн.;Город
Nissan Juke 2022 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1886024.html;20 563 $;728 340 грн;Киев
Nissan Juke 2021 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1886034.html;21 144 $;748 910 грн;Одесса
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1886040.html;19 023 $;673 800 грн;Киев
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1880863.html;30 209 $;1 070 000 грн;Киев
Nissan Qashqai 2022 Acenta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1884244.html;27 253 $;965 300 грн;Житомир
Nissan Juke 2021 N-Connecta Parking 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1879513.html;20 984 $; 21 708 $;Полтава
Nissan Juke 2021 Visia 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1877415.html;16 382 $;580 240 грн;Хмельницкий
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880300.html;18 994 $;673 700 грн;Киев
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1881118.html;30 224 $; 36 369 $;Полтава
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880187.html;19 438 $;688 500 грн;Львов
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1882343.html;29 088 $;1 030 280 грн;Хмельницкий
Nissan Qashqai 2022 Acenta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1879403.html;26 635 $; 27 496 $;Полтава
Nissan Juke 2021 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1877529.html;21 144 $;748 910 грн;Хмельницкий
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880146.html;19 604 $; 20 140 $;Кропивницкий (Кировоград)
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1881963.html;19 604 $;694 370 грн;Львов
Nissan Juke 2021 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1868068.html;21 339 $;756 910 грн;Кропивницкий (Кировоград)
Nissan Juke 2022 N-Connecta Parking 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1881266.html;20 978 $;743 040 грн;Львов
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880574.html;21 976 $;779 500 грн;Киев
Nissan Juke 2021 Visia 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1878293.html;15 967 $;565 540 грн;Ивано-Франковск
Nissan Juke 2022 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1881192.html;20 553 $;728 000 грн;Киев
Nissan X-Trail 2021 Tekna New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1885556.html;33 032 $;1 170 000 грн;Днепр (Днепропетровск)
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1885879.html;29 511 $;1 045 280 грн;Тернополь
Nissan Qashqai 2021 Tekna + 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1883089.html;40 306 $;1 427 621 грн;Ужгород
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885694.html;19 020 $;673 700 грн;Киев
Nissan Juke 2022 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885630.html;20 978 $;743 040 грн;Житомир
Nissan Juke 2022 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885695.html;23 289 $;824 900 грн;Киев
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885696.html;19 023 $;673 799 грн;Киев
